[2026/01/13 14:46:58] Time=6.00002, RollNum=0, RollSuccess=0, JumpNum=0, JumpSuccess=0, Damage=0, DamageNum=0, LastHP=100, EnemyHP=100
[2026/01/13 14:47:18] Time=15.6833, RollNum=8, RollSuccess=3, JumpNum=0, JumpSuccess=0, Damage=15, DamageNum=2, LastHP=85, EnemyHP=96
[2026/01/14 14:50:30] Time=43.5495, RollNum=7, RollSuccess=4, JumpNum=0, JumpSuccess=0, Damage=132.5, DamageNum=6, LastHP=-26.2501, EnemyHP=70
[2026/01/15 12:15:20] Time=0.0166667, RollNum=0, RollSuccess=0, JumpNum=0, JumpSuccess=0, Damage=0, DamageNum=0, LastHP=100, EnemyHP=100
[2026/01/15 12:16:16] Time=0.1, RollNum=0, RollSuccess=0, JumpNum=0, JumpSuccess=0, Damage=0, DamageNum=0, LastHP=100, EnemyHP=100
[2026/01/15 12:21:55] Time=0.366667, RollNum=0, RollSuccess=0, JumpNum=0, JumpSuccess=0, Damage=0, DamageNum=0, LastHP=100, EnemyHP=100
[2026/01/15 12:22:55] Time=0.766667, RollNum=0, RollSuccess=0, JumpNum=1, JumpSuccess=0, Damage=0, DamageNum=0, LastHP=100, EnemyHP=100
[2026/01/15 12:23:47] Time=0.116667, RollNum=0, RollSuccess=0, JumpNum=0, JumpSuccess=0, Damage=0, DamageNum=0, LastHP=100, EnemyHP=100
[2026/01/15 13:14:40] Time=0.516667, RollNum=0, RollSuccess=0, JumpNum=0, JumpSuccess=0, Damage=0, DamageNum=0, LastHP=100, EnemyHP=100
[2026/01/15 13:16:07] Time=4.5, RollNum=1, RollSuccess=1, JumpNum=0, JumpSuccess=0, Damage=15, DamageNum=1, LastHP=85, EnemyHP=98
[2026/01/15 13:19:30] Time=5.20001, RollNum=0, RollSuccess=0, JumpNum=0, JumpSuccess=0, Damage=15, DamageNum=1, LastHP=85, EnemyHP=94
[2026/01/15 13:20:23] Time=4.23333, RollNum=0, RollSuccess=0, JumpNum=0, JumpSuccess=0, Damage=15, DamageNum=1, LastHP=85, EnemyHP=94
[2026/01/15 13:21:18] Time=3.36666, RollNum=0, RollSuccess=0, JumpNum=0, JumpSuccess=0, Damage=0, DamageNum=0, LastHP=100, EnemyHP=96
[2026/01/15 13:21:34] Time=3.8, RollNum=1, RollSuccess=0, JumpNum=0, JumpSuccess=0, Damage=15, DamageNum=1, LastHP=85, EnemyHP=94
[2026/01/15 13:30:00] Time=0.316667, RollNum=0, RollSuccess=0, JumpNum=0, JumpSuccess=0, Damage=0, DamageNum=0, LastHP=100, EnemyHP=100
[2026/01/15 13:31:08] Time=19.7999, RollNum=8, RollSuccess=6, JumpNum=0, JumpSuccess=0, Damage=32.5, DamageNum=5, LastHP=67.5, EnemyHP=88
[2026/01/15 13:35:01] Time=0.116667, RollNum=0, RollSuccess=0, JumpNum=0, JumpSuccess=0, Damage=0, DamageNum=0, LastHP=100, EnemyHP=100
[2026/01/15 13:44:24] Time=0.1, RollNum=0, RollSuccess=0, JumpNum=0, JumpSuccess=0, Damage=0, DamageNum=0, LastHP=100, EnemyHP=100
[2026/01/15 13:45:49] Time=0.05, RollNum=0, RollSuccess=0, JumpNum=0, JumpSuccess=0, Damage=0, DamageNum=0, LastHP=100, EnemyHP=100
[2026/01/15 13:46:21] Time=0.783333, RollNum=0, RollSuccess=0, JumpNum=0, JumpSuccess=0, Damage=0, DamageNum=0, LastHP=100, EnemyHP=100
[2026/01/15 14:00:45] Time=1.08333, RollNum=0, RollSuccess=0, JumpNum=0, JumpSuccess=0, Damage=0, DamageNum=0, LastHP=100, EnemyHP=100
[2026/01/15 14:02:32] Time=10.5333, RollNum=1, RollSuccess=0, JumpNum=0, JumpSuccess=0, Damage=0, DamageNum=0, LastHP=100, EnemyHP=86
[2026/01/15 14:06:40] Time=98.2732, RollNum=33, RollSuccess=14, JumpNum=1, JumpSuccess=15, Damage=127.5, DamageNum=8, LastHP=65, EnemyHP=50
